강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2019학년도,   학기 : 2학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,중어중문학과,학사,1학년,032.014,001,중국어회화 1,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,008-406/008-406,류야페이,22,15 (15),13,중국학생 수강 권장하지 않음. 수강제한 관련 수강편람 필독.(단계별 수강에 대한 안내는 중문과 홈페이지 참조),중국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.014,003,중국어회화 1,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,014-103/014-103,당리,19,15 (15),11,중국학생 수강 권장하지 않음. 수강제한 관련 수강편람 필독.(단계별 수강에 대한 안내는 중문과 홈페이지 참조),중국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.015,001,중국어회화 2,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,014-202/014-202,두염빙,12,15 (15),9,중국학생 수강 권장하지 않음. 수강제한 관련 수강편람 필독.(단계별 수강에 대한 안내는 중문과 홈페이지 참조),중국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.015,002,중국어회화 2,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,002-102/002-102,류야페이,6,15 (15),5,중국학생 수강 권장하지 않음. 수강제한 관련 수강편람 필독.(단계별 수강에 대한 안내는 중문과 홈페이지 참조),중국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.016,001,미디어중국어,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,014-207/014-207,두염빙,31,20 (20),17,중국학생 수강 권장하지 않음. 단계별 수강에 대한 안내는 중문과 홈페이지 참조,중국어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,001,대학영어 1,,2,3,1,월(09:30~10:45)/수(09:30~10:45)/금(10:00~10:50),이론/이론/실습,003-114/003-114/002-101,Paul Shepherd,51,20 (20),16,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,002,대학영어 1,,2,3,1,월(09:30~10:45)/수(09:30~10:45)/금(14:00~14:50),이론/이론/실습,003-211/003-211/002-101,모윤숙,61,20 (20),19,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,003,대학영어 1,,2,3,1,월(09:30~10:45)/수(09:30~10:45)/금(10:00~10:50),이론/이론/실습,004-201/004-201/002-101-1,Linda Yoon,28,20 (20),14,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,004,대학영어 1,,2,3,1,월(09:30~10:45)/화(17:00~17:50)/수(09:30~10:45),이론/실습/이론,003-115/002-101/003-115,Andrew Mahaffey Wilbur,68,20 (20),17,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,005,대학영어 1,,2,3,1,월(11:00~12:15)/수(11:00~12:15)/목(18:00~18:50),이론/이론/실습,002-105/002-105/002-105,손창용,76,20 (20),15,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,006,대학영어 1,,2,3,1,월(11:00~12:15)/수(11:00~12:15)/목(17:00~17:50),이론/이론/실습,002-104/002-104/003-116,김승현,54,20 (20),18,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,007,대학영어 1,,2,3,1,월(11:00~12:15)/수(11:00~12:15)/금(10:00~10:50),이론/이론/실습,002-101-1/002-101-1/002-104,서보람,39,20 (20),18,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,008,대학영어 1,,2,3,1,월(11:00~12:15)/수(11:00~12:15)/금(11:00~11:50),이론/이론/실습,002-106/002-106/002-102,조희연,42,20 (20),20,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,009,대학영어 1,,2,3,1,월(11:00~12:15)/화(18:00~18:50)/수(11:00~12:15),이론/실습/이론,003-211/002-101/003-211,모윤숙,69,20 (20),19,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,010,대학영어 1,,2,3,1,월(11:00~12:15)/수(11:00~12:15)/목(17:00~17:50),이론/이론/실습,005-208/005-208/002-106,김은아,68,20 (20),20,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,011,대학영어 1,,2,3,1,월(11:00~12:15)/화(17:00~17:50)/수(11:00~12:15),이론/실습/이론,004-201/002-104/004-201,Linda Yoon,41,20 (20),19,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
교양,인문대학,영어영문학과,학사,1학년,032.017,012,대학영어 1,,2,3,1,월(12:30~13:45)/화(18:00~18:50)/수(12:30~13:45),이론/실습/이론,003-114/002-104/003-114,Paul Shepherd,27,20 (20),15,"ⓔ수강기준에 맞지않을시 F(""TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내"" 반드시 확인후 신청)",영어,설강
