강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전필,간호대학,간호학과,학사,4학년,811.409,001,간호관리학,,3,3,0,금(09:00~11:50),이론,#12-103,김진현,0,40 (40),0,,한국어,설강
전필,간호대학,간호학과,학사,4학년,811.409,002,간호관리학,,3,3,0,금(13:00~15:50),이론,#12-102,이남주,0,40 (40),0,,한국어,설강
전선,간호대학,간호학과,석박사통합,,811.649,001,간호관리연구,,3,3,0,수(18:00~20:50),이론,#12-408,김진현,2,30 (30),0,,한국어,설강
전필,간호대학,임상간호학과,석사,1학년,M3382.000100,001,간호이론,,2,2,0,화(17:00~18:50),이론,#12-414,우경미,0,15 (15),0,타과생 수강불허,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,811.698,001,간호영양학특론,,3,3,0,수(09:00~11:50),이론,#12-401,최스미,7,25 (25),0,성인간호학전공만 수강 가능,한국어,설강
전선,간호대학,간호학과,석박사통합,1학년,811.519,001,간호연구방법총론,,3,3,0,목(13:00~15:50),이론,#12-401,이경숙,0,30 (30),0,ⓔ,영어,설강
전필,간호대학,간호학과,학사,4학년,811.410,001,간호관리학실습,,3,0,9,,,,김진현,0,30 (30),0,,한국어,설강
전필,간호대학,간호학과,학사,4학년,811.410,002,간호관리학실습,,3,0,9,,,,김진현,0,30 (30),0,,한국어,설강
전필,간호대학,간호학과,학사,4학년,811.410,003,간호관리학실습,,3,0,9,,,,김진현,0,30 (30),0,,한국어,설강
전필,간호대학,간호학과,학사,4학년,811.421,001,간호연구실습,,1,0,2,목(13:00~14:50),실습,#13-226,김현의,0,70 (70),0,,한국어,설강
